[17-May-2024 22:15:55 Asia/Calcutta] PHP Warning:  Undefined array key "CurrentFile" in C:\xampp\htdocs\roofnassets\handler\SystemController\ConfigController.php on line 127
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\roofnassets\app\customers\details\sections\pageHeader.php on line 14
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\app\customers\details\sections\pageHeader.php on line 16
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\app\customers\details\sections\pageHeader.php on line 16
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\app\customers\details\sections\navbar.php on line 4
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\app\customers\details\sections\navbar.php on line 4
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\app\customers\details\sections\navbar.php on line 5
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\app\customers\details\sections\navbar.php on line 5
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\app\customers\details\sections\navbar.php on line 8
[17-May-2024 22:18:16 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\app\customers\details\sections\navbar.php on line 8
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Address.php on line 1
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Address.php on line 1
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Address.php on line 12
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Address.php on line 12
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 1
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 1
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 11
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 11
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 18
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerName" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 18
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 22
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerRelationName" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 22
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 25
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 25
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 26
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerPhoneNumber" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 26
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 26
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 26
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 26
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 26
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 29
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 29
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 30
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 30
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 30
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerEmailId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 30
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 30
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 30
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 34
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerBirthdate" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 34
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 37
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 37
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 38
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 38
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 45
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 45
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 46
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 46
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 47
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 47
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 48
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 48
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 48
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 48
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 49
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 49
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Undefined variable $Data in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 50
[17-May-2024 22:18:17 Asia/Calcutta] PHP Warning:  Attempt to read property "CustomerId" on null in C:\xampp\htdocs\roofnassets\include\forms\Update-Customer-Info.php on line 50
